,precision,recall,f1-score,support
akiec,0.3333333333333333,0.47692307692307695,0.3924050632911392,65.0
bcc,0.324468085106383,0.5922330097087378,0.41924398625429554,103.0
bkl,0.2777777777777778,0.18181818181818182,0.21978021978021978,220.0
df,0.03322259136212625,0.43478260869565216,0.06172839506172839,23.0
mel,0.17939393939393938,0.6636771300448431,0.2824427480916031,223.0
nv,0.0,0.0,0.0,1341.0
vasc,0.05088495575221239,0.8214285714285714,0.09583333333333334,28.0
accuracy,0.15626560159760358,0.15626560159760358,0.15626560159760358,0.15626560159760358
macro avg,0.171297240389396,0.4529803683741519,0.21020482083033135,2003.0
weighted avg,0.07907725281626288,0.15626560159760358,0.09192607453516996,2003.0
