,precision,recall,f1-score,support
akiec,0.38636363636363635,0.5230769230769231,0.4444444444444444,65.0
bcc,0.632183908045977,0.5339805825242718,0.5789473684210527,103.0
bkl,0.6879432624113475,0.4409090909090909,0.5373961218836565,220.0
df,0.0,0.0,0.0,23.0
mel,0.6574074074074074,0.3183856502242152,0.42900302114803623,223.0
nv,0.8335467349551856,0.970917225950783,0.8970031002411298,1341.0
vasc,0.8235294117647058,0.5,0.6222222222222222,28.0
accuracy,0.7853220169745382,0.7853220169745382,0.7853220169745382,0.7853220169745382
macro avg,0.5744249087068942,0.4696099246693263,0.5012880397657917,2003.0
weighted avg,0.7633664221562835,0.7853220169745382,0.7602190054978787,2003.0
